0,Conv2d,3,ghostnet.conv_stem.conv
1,BatchNorm2d,6,ghostnet.bn1.bn
2,Conv2d,20,ghostnet.blocks.layers.0.layers.0.ghost1.primary_conv.layers.0.conv
3,BatchNorm2d,23,ghostnet.blocks.layers.0.layers.0.ghost1.primary_conv.layers.1.bn
4,Conv2d,30,ghostnet.blocks.layers.0.layers.0.ghost1.cheap_operation.layers.0.conv
5,BatchNorm2d,33,ghostnet.blocks.layers.0.layers.0.ghost1.cheap_operation.layers.1.bn
6,Conv2d,42,ghostnet.blocks.layers.0.layers.0.ghost2.primary_conv.layers.0.conv
7,BatchNorm2d,45,ghostnet.blocks.layers.0.layers.0.ghost2.primary_conv.layers.1.bn
8,Conv2d,52,ghostnet.blocks.layers.0.layers.0.ghost2.cheap_operation.layers.0.conv
9,BatchNorm2d,55,ghostnet.blocks.layers.0.layers.0.ghost2.cheap_operation.layers.1.bn
10,Conv2d,69,ghostnet.blocks.layers.1.layers.0.ghost1.primary_conv.layers.0.conv
11,BatchNorm2d,72,ghostnet.blocks.layers.1.layers.0.ghost1.primary_conv.layers.1.bn
12,Conv2d,79,ghostnet.blocks.layers.1.layers.0.ghost1.cheap_operation.layers.0.conv
13,BatchNorm2d,82,ghostnet.blocks.layers.1.layers.0.ghost1.cheap_operation.layers.1.bn
14,Conv2d,87,ghostnet.blocks.layers.1.layers.0.conv_dw.conv
15,BatchNorm2d,90,ghostnet.blocks.layers.1.layers.0.bn_dw.bn
16,Conv2d,97,ghostnet.blocks.layers.1.layers.0.ghost2.primary_conv.layers.0.conv
17,BatchNorm2d,100,ghostnet.blocks.layers.1.layers.0.ghost2.primary_conv.layers.1.bn
18,Conv2d,107,ghostnet.blocks.layers.1.layers.0.ghost2.cheap_operation.layers.0.conv
19,BatchNorm2d,110,ghostnet.blocks.layers.1.layers.0.ghost2.cheap_operation.layers.1.bn
20,Conv2d,117,ghostnet.blocks.layers.1.layers.0.shortcut.layers.0.conv
21,BatchNorm2d,120,ghostnet.blocks.layers.1.layers.0.shortcut.layers.1.bn
22,Conv2d,123,ghostnet.blocks.layers.1.layers.0.shortcut.layers.2.conv
23,BatchNorm2d,126,ghostnet.blocks.layers.1.layers.0.shortcut.layers.3.bn
24,Conv2d,136,ghostnet.blocks.layers.2.layers.0.ghost1.primary_conv.layers.0.conv
25,BatchNorm2d,139,ghostnet.blocks.layers.2.layers.0.ghost1.primary_conv.layers.1.bn
26,Conv2d,146,ghostnet.blocks.layers.2.layers.0.ghost1.cheap_operation.layers.0.conv
27,BatchNorm2d,149,ghostnet.blocks.layers.2.layers.0.ghost1.cheap_operation.layers.1.bn
28,Conv2d,156,ghostnet.blocks.layers.2.layers.0.ghost1.short_conv.layers.0.conv
29,BatchNorm2d,159,ghostnet.blocks.layers.2.layers.0.ghost1.short_conv.layers.1.bn
30,Conv2d,162,ghostnet.blocks.layers.2.layers.0.ghost1.short_conv.layers.2.conv
31,BatchNorm2d,165,ghostnet.blocks.layers.2.layers.0.ghost1.short_conv.layers.3.bn
32,Conv2d,168,ghostnet.blocks.layers.2.layers.0.ghost1.short_conv.layers.4.conv
33,BatchNorm2d,171,ghostnet.blocks.layers.2.layers.0.ghost1.short_conv.layers.5.bn
34,Conv2d,178,ghostnet.blocks.layers.2.layers.0.ghost2.primary_conv.layers.0.conv
35,BatchNorm2d,181,ghostnet.blocks.layers.2.layers.0.ghost2.primary_conv.layers.1.bn
36,Conv2d,188,ghostnet.blocks.layers.2.layers.0.ghost2.cheap_operation.layers.0.conv
37,BatchNorm2d,191,ghostnet.blocks.layers.2.layers.0.ghost2.cheap_operation.layers.1.bn
38,Conv2d,205,ghostnet.blocks.layers.3.layers.0.ghost1.primary_conv.layers.0.conv
39,BatchNorm2d,208,ghostnet.blocks.layers.3.layers.0.ghost1.primary_conv.layers.1.bn
40,Conv2d,215,ghostnet.blocks.layers.3.layers.0.ghost1.cheap_operation.layers.0.conv
41,BatchNorm2d,218,ghostnet.blocks.layers.3.layers.0.ghost1.cheap_operation.layers.1.bn
42,Conv2d,225,ghostnet.blocks.layers.3.layers.0.ghost1.short_conv.layers.0.conv
43,BatchNorm2d,228,ghostnet.blocks.layers.3.layers.0.ghost1.short_conv.layers.1.bn
44,Conv2d,231,ghostnet.blocks.layers.3.layers.0.ghost1.short_conv.layers.2.conv
45,BatchNorm2d,234,ghostnet.blocks.layers.3.layers.0.ghost1.short_conv.layers.3.bn
46,Conv2d,237,ghostnet.blocks.layers.3.layers.0.ghost1.short_conv.layers.4.conv
47,BatchNorm2d,240,ghostnet.blocks.layers.3.layers.0.ghost1.short_conv.layers.5.bn
48,Conv2d,243,ghostnet.blocks.layers.3.layers.0.conv_dw.conv
49,BatchNorm2d,246,ghostnet.blocks.layers.3.layers.0.bn_dw.bn
50,Conv2d,251,ghostnet.blocks.layers.3.layers.0.se.conv_reduce.conv
51,Conv2d,256,ghostnet.blocks.layers.3.layers.0.se.conv_expand.conv
52,Conv2d,263,ghostnet.blocks.layers.3.layers.0.ghost2.primary_conv.layers.0.conv
53,BatchNorm2d,266,ghostnet.blocks.layers.3.layers.0.ghost2.primary_conv.layers.1.bn
54,Conv2d,273,ghostnet.blocks.layers.3.layers.0.ghost2.cheap_operation.layers.0.conv
55,BatchNorm2d,276,ghostnet.blocks.layers.3.layers.0.ghost2.cheap_operation.layers.1.bn
56,Conv2d,283,ghostnet.blocks.layers.3.layers.0.shortcut.layers.0.conv
57,BatchNorm2d,286,ghostnet.blocks.layers.3.layers.0.shortcut.layers.1.bn
58,Conv2d,289,ghostnet.blocks.layers.3.layers.0.shortcut.layers.2.conv
59,BatchNorm2d,292,ghostnet.blocks.layers.3.layers.0.shortcut.layers.3.bn
60,Conv2d,302,ghostnet.blocks.layers.4.layers.0.ghost1.primary_conv.layers.0.conv
61,BatchNorm2d,305,ghostnet.blocks.layers.4.layers.0.ghost1.primary_conv.layers.1.bn
62,Conv2d,312,ghostnet.blocks.layers.4.layers.0.ghost1.cheap_operation.layers.0.conv
63,BatchNorm2d,315,ghostnet.blocks.layers.4.layers.0.ghost1.cheap_operation.layers.1.bn
64,Conv2d,322,ghostnet.blocks.layers.4.layers.0.ghost1.short_conv.layers.0.conv
65,BatchNorm2d,325,ghostnet.blocks.layers.4.layers.0.ghost1.short_conv.layers.1.bn
66,Conv2d,328,ghostnet.blocks.layers.4.layers.0.ghost1.short_conv.layers.2.conv
67,BatchNorm2d,331,ghostnet.blocks.layers.4.layers.0.ghost1.short_conv.layers.3.bn
68,Conv2d,334,ghostnet.blocks.layers.4.layers.0.ghost1.short_conv.layers.4.conv
69,BatchNorm2d,337,ghostnet.blocks.layers.4.layers.0.ghost1.short_conv.layers.5.bn
70,Conv2d,342,ghostnet.blocks.layers.4.layers.0.se.conv_reduce.conv
71,Conv2d,347,ghostnet.blocks.layers.4.layers.0.se.conv_expand.conv
72,Conv2d,354,ghostnet.blocks.layers.4.layers.0.ghost2.primary_conv.layers.0.conv
73,BatchNorm2d,357,ghostnet.blocks.layers.4.layers.0.ghost2.primary_conv.layers.1.bn
74,Conv2d,364,ghostnet.blocks.layers.4.layers.0.ghost2.cheap_operation.layers.0.conv
75,BatchNorm2d,367,ghostnet.blocks.layers.4.layers.0.ghost2.cheap_operation.layers.1.bn
76,Conv2d,381,ghostnet.blocks.layers.5.layers.0.ghost1.primary_conv.layers.0.conv
77,BatchNorm2d,384,ghostnet.blocks.layers.5.layers.0.ghost1.primary_conv.layers.1.bn
78,Conv2d,391,ghostnet.blocks.layers.5.layers.0.ghost1.cheap_operation.layers.0.conv
79,BatchNorm2d,394,ghostnet.blocks.layers.5.layers.0.ghost1.cheap_operation.layers.1.bn
80,Conv2d,401,ghostnet.blocks.layers.5.layers.0.ghost1.short_conv.layers.0.conv
81,BatchNorm2d,404,ghostnet.blocks.layers.5.layers.0.ghost1.short_conv.layers.1.bn
82,Conv2d,407,ghostnet.blocks.layers.5.layers.0.ghost1.short_conv.layers.2.conv
83,BatchNorm2d,410,ghostnet.blocks.layers.5.layers.0.ghost1.short_conv.layers.3.bn
84,Conv2d,413,ghostnet.blocks.layers.5.layers.0.ghost1.short_conv.layers.4.conv
85,BatchNorm2d,416,ghostnet.blocks.layers.5.layers.0.ghost1.short_conv.layers.5.bn
86,Conv2d,419,ghostnet.blocks.layers.5.layers.0.conv_dw.conv
87,BatchNorm2d,422,ghostnet.blocks.layers.5.layers.0.bn_dw.bn
88,Conv2d,429,ghostnet.blocks.layers.5.layers.0.ghost2.primary_conv.layers.0.conv
89,BatchNorm2d,432,ghostnet.blocks.layers.5.layers.0.ghost2.primary_conv.layers.1.bn
90,Conv2d,439,ghostnet.blocks.layers.5.layers.0.ghost2.cheap_operation.layers.0.conv
91,BatchNorm2d,442,ghostnet.blocks.layers.5.layers.0.ghost2.cheap_operation.layers.1.bn
92,Conv2d,449,ghostnet.blocks.layers.5.layers.0.shortcut.layers.0.conv
93,BatchNorm2d,452,ghostnet.blocks.layers.5.layers.0.shortcut.layers.1.bn
94,Conv2d,455,ghostnet.blocks.layers.5.layers.0.shortcut.layers.2.conv
95,BatchNorm2d,458,ghostnet.blocks.layers.5.layers.0.shortcut.layers.3.bn
96,Conv2d,468,ghostnet.blocks.layers.6.layers.0.ghost1.primary_conv.layers.0.conv
97,BatchNorm2d,471,ghostnet.blocks.layers.6.layers.0.ghost1.primary_conv.layers.1.bn
98,Conv2d,478,ghostnet.blocks.layers.6.layers.0.ghost1.cheap_operation.layers.0.conv
99,BatchNorm2d,481,ghostnet.blocks.layers.6.layers.0.ghost1.cheap_operation.layers.1.bn
100,Conv2d,488,ghostnet.blocks.layers.6.layers.0.ghost1.short_conv.layers.0.conv
101,BatchNorm2d,491,ghostnet.blocks.layers.6.layers.0.ghost1.short_conv.layers.1.bn
102,Conv2d,494,ghostnet.blocks.layers.6.layers.0.ghost1.short_conv.layers.2.conv
103,BatchNorm2d,497,ghostnet.blocks.layers.6.layers.0.ghost1.short_conv.layers.3.bn
104,Conv2d,500,ghostnet.blocks.layers.6.layers.0.ghost1.short_conv.layers.4.conv
105,BatchNorm2d,503,ghostnet.blocks.layers.6.layers.0.ghost1.short_conv.layers.5.bn
106,Conv2d,510,ghostnet.blocks.layers.6.layers.0.ghost2.primary_conv.layers.0.conv
107,BatchNorm2d,513,ghostnet.blocks.layers.6.layers.0.ghost2.primary_conv.layers.1.bn
108,Conv2d,520,ghostnet.blocks.layers.6.layers.0.ghost2.cheap_operation.layers.0.conv
109,BatchNorm2d,523,ghostnet.blocks.layers.6.layers.0.ghost2.cheap_operation.layers.1.bn
110,Conv2d,535,ghostnet.blocks.layers.6.layers.1.ghost1.primary_conv.layers.0.conv
111,BatchNorm2d,538,ghostnet.blocks.layers.6.layers.1.ghost1.primary_conv.layers.1.bn
112,Conv2d,545,ghostnet.blocks.layers.6.layers.1.ghost1.cheap_operation.layers.0.conv
113,BatchNorm2d,548,ghostnet.blocks.layers.6.layers.1.ghost1.cheap_operation.layers.1.bn
114,Conv2d,555,ghostnet.blocks.layers.6.layers.1.ghost1.short_conv.layers.0.conv
115,BatchNorm2d,558,ghostnet.blocks.layers.6.layers.1.ghost1.short_conv.layers.1.bn
116,Conv2d,561,ghostnet.blocks.layers.6.layers.1.ghost1.short_conv.layers.2.conv
117,BatchNorm2d,564,ghostnet.blocks.layers.6.layers.1.ghost1.short_conv.layers.3.bn
118,Conv2d,567,ghostnet.blocks.layers.6.layers.1.ghost1.short_conv.layers.4.conv
119,BatchNorm2d,570,ghostnet.blocks.layers.6.layers.1.ghost1.short_conv.layers.5.bn
120,Conv2d,577,ghostnet.blocks.layers.6.layers.1.ghost2.primary_conv.layers.0.conv
121,BatchNorm2d,580,ghostnet.blocks.layers.6.layers.1.ghost2.primary_conv.layers.1.bn
122,Conv2d,587,ghostnet.blocks.layers.6.layers.1.ghost2.cheap_operation.layers.0.conv
123,BatchNorm2d,590,ghostnet.blocks.layers.6.layers.1.ghost2.cheap_operation.layers.1.bn
124,Conv2d,602,ghostnet.blocks.layers.6.layers.2.ghost1.primary_conv.layers.0.conv
125,BatchNorm2d,605,ghostnet.blocks.layers.6.layers.2.ghost1.primary_conv.layers.1.bn
126,Conv2d,612,ghostnet.blocks.layers.6.layers.2.ghost1.cheap_operation.layers.0.conv
127,BatchNorm2d,615,ghostnet.blocks.layers.6.layers.2.ghost1.cheap_operation.layers.1.bn
128,Conv2d,622,ghostnet.blocks.layers.6.layers.2.ghost1.short_conv.layers.0.conv
129,BatchNorm2d,625,ghostnet.blocks.layers.6.layers.2.ghost1.short_conv.layers.1.bn
130,Conv2d,628,ghostnet.blocks.layers.6.layers.2.ghost1.short_conv.layers.2.conv
131,BatchNorm2d,631,ghostnet.blocks.layers.6.layers.2.ghost1.short_conv.layers.3.bn
132,Conv2d,634,ghostnet.blocks.layers.6.layers.2.ghost1.short_conv.layers.4.conv
133,BatchNorm2d,637,ghostnet.blocks.layers.6.layers.2.ghost1.short_conv.layers.5.bn
134,Conv2d,644,ghostnet.blocks.layers.6.layers.2.ghost2.primary_conv.layers.0.conv
135,BatchNorm2d,647,ghostnet.blocks.layers.6.layers.2.ghost2.primary_conv.layers.1.bn
136,Conv2d,654,ghostnet.blocks.layers.6.layers.2.ghost2.cheap_operation.layers.0.conv
137,BatchNorm2d,657,ghostnet.blocks.layers.6.layers.2.ghost2.cheap_operation.layers.1.bn
138,Conv2d,669,ghostnet.blocks.layers.6.layers.3.ghost1.primary_conv.layers.0.conv
139,BatchNorm2d,672,ghostnet.blocks.layers.6.layers.3.ghost1.primary_conv.layers.1.bn
140,Conv2d,679,ghostnet.blocks.layers.6.layers.3.ghost1.cheap_operation.layers.0.conv
141,BatchNorm2d,682,ghostnet.blocks.layers.6.layers.3.ghost1.cheap_operation.layers.1.bn
142,Conv2d,689,ghostnet.blocks.layers.6.layers.3.ghost1.short_conv.layers.0.conv
143,BatchNorm2d,692,ghostnet.blocks.layers.6.layers.3.ghost1.short_conv.layers.1.bn
144,Conv2d,695,ghostnet.blocks.layers.6.layers.3.ghost1.short_conv.layers.2.conv
145,BatchNorm2d,698,ghostnet.blocks.layers.6.layers.3.ghost1.short_conv.layers.3.bn
146,Conv2d,701,ghostnet.blocks.layers.6.layers.3.ghost1.short_conv.layers.4.conv
